quarter,hb,simd,episodes,length_of_stay
2021Q1,Greater Glasgow and Clyde,4,13,15
2021Q2,Greater Glasgow and Clyde,4,28,32
2021Q3,Greater Glasgow and Clyde,4,29,22
2021Q4,Greater Glasgow and Clyde,4,30,28
2022Q1,Greater Glasgow and Clyde,4,39,21
2022Q2,Greater Glasgow and Clyde,4,22,34
2022Q3,Greater Glasgow and Clyde,4,30,22
2017Q3,Greater Glasgow and Clyde,5,23,44
2017Q4,Greater Glasgow and Clyde,5,25,24
2018Q1,Greater Glasgow and Clyde,5,35,34
2018Q2,Greater Glasgow and Clyde,5,33,53
2018Q3,Greater Glasgow and Clyde,5,22,34
2018Q4,Greater Glasgow and Clyde,5,15,16
2019Q1,Greater Glasgow and Clyde,5,29,70
2019Q2,Greater Glasgow and Clyde,5,35,43
2019Q3,Greater Glasgow and Clyde,5,46,17
2019Q4,Greater Glasgow and Clyde,5,50,15
2020Q1,Greater Glasgow and Clyde,5,31,45
2020Q3,Greater Glasgow and Clyde,5,5,5
2020Q4,Greater Glasgow and Clyde,5,27,27
2021Q1,Greater Glasgow and Clyde,5,15,21
2021Q2,Greater Glasgow and Clyde,5,29,33
2021Q3,Greater Glasgow and Clyde,5,30,29
2021Q4,Greater Glasgow and Clyde,5,32,28
2022Q1,Greater Glasgow and Clyde,5,45,35
2022Q2,Greater Glasgow and Clyde,5,17,15
2022Q3,Greater Glasgow and Clyde,5,25,28
2017Q3,Greater Glasgow and Clyde,1,5,17
2017Q4,Greater Glasgow and Clyde,1,5,14
2018Q1,Greater Glasgow and Clyde,1,10,83
2018Q2,Greater Glasgow and Clyde,1,5,15
2018Q3,Greater Glasgow and Clyde,1,5,33
2018Q4,Greater Glasgow and Clyde,1,10,20
2019Q1,Greater Glasgow and Clyde,1,10,15
2019Q2,Greater Glasgow and Clyde,1,5,13
2019Q3,Greater Glasgow and Clyde,1,10,24
2019Q4,Greater Glasgow and Clyde,1,12,63
2020Q1,Greater Glasgow and Clyde,1,5,38
2020Q2,Greater Glasgow and Clyde,1,5,5
2020Q3,Greater Glasgow and Clyde,1,30,21
2020Q4,Greater Glasgow and Clyde,1,20,21
2021Q1,Greater Glasgow and Clyde,1,5,21
2021Q2,Greater Glasgow and Clyde,1,10,26
2021Q3,Greater Glasgow and Clyde,1,10,56
2021Q4,Greater Glasgow and Clyde,1,15,38
2022Q1,Greater Glasgow and Clyde,1,21,95
2022Q2,Greater Glasgow and Clyde,1,5,8
2022Q3,Greater Glasgow and Clyde,1,5,13
2017Q3,Greater Glasgow and Clyde,2,10,20
2017Q4,Greater Glasgow and Clyde,2,5,12
2018Q1,Greater Glasgow and Clyde,2,5,11
2018Q2,Greater Glasgow and Clyde,2,5,17
2018Q3,Greater Glasgow and Clyde,2,5,17
2018Q4,Greater Glasgow and Clyde,2,10,11
2019Q1,Greater Glasgow and Clyde,2,5,15
2019Q2,Greater Glasgow and Clyde,2,5,14
2019Q3,Greater Glasgow and Clyde,2,5,8
2019Q4,Greater Glasgow and Clyde,2,10,23
2020Q1,Greater Glasgow and Clyde,2,5,8
2020Q2,Greater Glasgow and Clyde,2,5,NA
2020Q3,Greater Glasgow and Clyde,2,22,25
2020Q4,Greater Glasgow and Clyde,2,15,8
2021Q1,Greater Glasgow and Clyde,2,5,5
2021Q2,Greater Glasgow and Clyde,2,10,12
2021Q3,Greater Glasgow and Clyde,2,12,35
2021Q4,Greater Glasgow and Clyde,2,15,123
2022Q1,Greater Glasgow and Clyde,2,10,25
2022Q2,Greater Glasgow and Clyde,2,10,20
2022Q3,Greater Glasgow and Clyde,2,5,60
2017Q3,Greater Glasgow and Clyde,3,5,7
2017Q4,Greater Glasgow and Clyde,3,5,41
2018Q1,Greater Glasgow and Clyde,3,5,14
2018Q2,Greater Glasgow and Clyde,3,5,19
2018Q3,Greater Glasgow and Clyde,3,5,14
2018Q4,Greater Glasgow and Clyde,3,5,5
2019Q1,Greater Glasgow and Clyde,3,5,9
2019Q2,Greater Glasgow and Clyde,3,10,7
2019Q3,Greater Glasgow and Clyde,3,5,22
2019Q4,Greater Glasgow and Clyde,3,5,34
2020Q1,Greater Glasgow and Clyde,3,5,30
2020Q2,Greater Glasgow and Clyde,3,5,5
2020Q3,Greater Glasgow and Clyde,3,30,11
2020Q4,Greater Glasgow and Clyde,3,12,31
2021Q1,Greater Glasgow and Clyde,3,NA,5
2021Q2,Greater Glasgow and Clyde,3,5,5
2021Q3,Greater Glasgow and Clyde,3,10,16
2021Q4,Greater Glasgow and Clyde,3,10,59
2022Q1,Greater Glasgow and Clyde,3,5,8
2022Q2,Greater Glasgow and Clyde,3,10,83
2022Q3,Greater Glasgow and Clyde,3,10,5
2017Q3,Greater Glasgow and Clyde,4,5,25
2017Q4,Greater Glasgow and Clyde,4,5,19
2018Q1,Greater Glasgow and Clyde,4,5,13
2018Q2,Greater Glasgow and Clyde,4,5,11
2018Q3,Greater Glasgow and Clyde,4,5,6
2018Q4,Greater Glasgow and Clyde,4,10,NA
2019Q1,Greater Glasgow and Clyde,4,5,10
2019Q2,Greater Glasgow and Clyde,4,5,11
2019Q4,Greater Glasgow and Clyde,4,5,14
2020Q1,Greater Glasgow and Clyde,4,NA,5
2020Q2,Greater Glasgow and Clyde,4,5,5
2020Q3,Greater Glasgow and Clyde,4,36,5
2020Q4,Greater Glasgow and Clyde,4,15,NA
2021Q1,Greater Glasgow and Clyde,4,5,10
2021Q2,Greater Glasgow and Clyde,4,5,13
2021Q3,Greater Glasgow and Clyde,4,10,30
2021Q4,Greater Glasgow and Clyde,4,5,12
2022Q1,Greater Glasgow and Clyde,4,10,84
2022Q2,Greater Glasgow and Clyde,4,10,8
2022Q3,Greater Glasgow and Clyde,4,14,5
2017Q3,Greater Glasgow and Clyde,5,5,27
2017Q4,Greater Glasgow and Clyde,5,5,29
2018Q1,Greater Glasgow and Clyde,5,5,15
2018Q2,Greater Glasgow and Clyde,5,NA,15
2018Q3,Greater Glasgow and Clyde,5,5,6
2018Q4,Greater Glasgow and Clyde,5,5,NA
2019Q1,Greater Glasgow and Clyde,5,5,NA
2019Q2,Greater Glasgow and Clyde,5,NA,21
2019Q4,Greater Glasgow and Clyde,5,5,5
2020Q1,Greater Glasgow and Clyde,5,5,6
2020Q3,Greater Glasgow and Clyde,5,19,NA
2020Q4,Greater Glasgow and Clyde,5,10,NA
2021Q1,Greater Glasgow and Clyde,5,NA,18
2021Q2,Greater Glasgow and Clyde,5,5,7
2021Q3,Greater Glasgow and Clyde,5,5,33
2021Q4,Greater Glasgow and Clyde,5,5,6
2022Q1,Greater Glasgow and Clyde,5,12,64
2022Q2,Greater Glasgow and Clyde,5,5,NA
2022Q3,Greater Glasgow and Clyde,5,5,NA
2017Q3,Greater Glasgow and Clyde,1,518,1985
2017Q4,Greater Glasgow and Clyde,1,529,1931
2018Q1,Greater Glasgow and Clyde,1,485,2130
2018Q2,Greater Glasgow and Clyde,1,537,1970
2018Q3,Greater Glasgow and Clyde,1,466,1613
2018Q4,Greater Glasgow and Clyde,1,476,1451
2019Q1,Greater Glasgow and Clyde,1,455,1629
2019Q2,Greater Glasgow and Clyde,1,502,1409
2019Q3,Greater Glasgow and Clyde,1,406,1420
2019Q4,Greater Glasgow and Clyde,1,451,1548
2020Q1,Greater Glasgow and Clyde,1,475,1280
2020Q2,Greater Glasgow and Clyde,1,252,890
2020Q3,Greater Glasgow and Clyde,1,336,1105
2020Q4,Greater Glasgow and Clyde,1,443,1346
2021Q1,Greater Glasgow and Clyde,1,370,887
2021Q2,Greater Glasgow and Clyde,1,406,1324
2021Q3,Greater Glasgow and Clyde,1,407,1284
2021Q4,Greater Glasgow and Clyde,1,402,1295
2022Q1,Greater Glasgow and Clyde,1,407,1279
2022Q2,Greater Glasgow and Clyde,1,411,1577
2022Q3,Greater Glasgow and Clyde,1,394,1201
2017Q3,Greater Glasgow and Clyde,2,357,1484
2017Q4,Greater Glasgow and Clyde,2,381,1423
2018Q1,Greater Glasgow and Clyde,2,303,1317
2018Q2,Greater Glasgow and Clyde,2,386,1694
2018Q3,Greater Glasgow and Clyde,2,301,1046
2018Q4,Greater Glasgow and Clyde,2,301,996
2019Q1,Greater Glasgow and Clyde,2,319,1089
2019Q2,Greater Glasgow and Clyde,2,352,907
2019Q3,Greater Glasgow and Clyde,2,297,1134
2019Q4,Greater Glasgow and Clyde,2,305,1858
2020Q1,Greater Glasgow and Clyde,2,307,879
2020Q2,Greater Glasgow and Clyde,2,176,535
2020Q3,Greater Glasgow and Clyde,2,254,903
2020Q4,Greater Glasgow and Clyde,2,317,775
2021Q1,Greater Glasgow and Clyde,2,277,933
2021Q2,Greater Glasgow and Clyde,2,283,780
2021Q3,Greater Glasgow and Clyde,2,288,937
2021Q4,Greater Glasgow and Clyde,2,239,689
2022Q1,Greater Glasgow and Clyde,2,272,1322
2022Q2,Greater Glasgow and Clyde,2,268,839
2022Q3,Greater Glasgow and Clyde,2,309,1059
2017Q3,Greater Glasgow and Clyde,3,292,1264
2017Q4,Greater Glasgow and Clyde,3,299,1329
2018Q1,Greater Glasgow and Clyde,3,280,1380
2018Q2,Greater Glasgow and Clyde,3,303,1269
2018Q3,Greater Glasgow and Clyde,3,271,1336
2018Q4,Greater Glasgow and Clyde,3,287,890
2019Q1,Greater Glasgow and Clyde,3,279,1300
2019Q2,Greater Glasgow and Clyde,3,242,907
2019Q3,Greater Glasgow and Clyde,3,277,960
2019Q4,Greater Glasgow and Clyde,3,278,1078
2020Q1,Greater Glasgow and Clyde,3,302,822
2020Q2,Greater Glasgow and Clyde,3,140,685
2020Q3,Greater Glasgow and Clyde,3,227,721
2020Q4,Greater Glasgow and Clyde,3,245,711
2021Q1,Greater Glasgow and Clyde,3,210,701
2021Q2,Greater Glasgow and Clyde,3,248,697
2021Q3,Greater Glasgow and Clyde,3,250,713
2021Q4,Greater Glasgow and Clyde,3,227,811
2022Q1,Greater Glasgow and Clyde,3,243,741
2022Q2,Greater Glasgow and Clyde,3,278,831
2022Q3,Greater Glasgow and Clyde,3,255,662
2017Q3,Greater Glasgow and Clyde,4,269,975
2017Q4,Greater Glasgow and Clyde,4,284,1148
2018Q1,Greater Glasgow and Clyde,4,234,827
2018Q2,Greater Glasgow and Clyde,4,276,1295
2018Q3,Greater Glasgow and Clyde,4,245,742
2018Q4,Greater Glasgow and Clyde,4,237,618
2019Q1,Greater Glasgow and Clyde,4,217,534
2019Q2,Greater Glasgow and Clyde,4,234,608
2019Q3,Greater Glasgow and Clyde,4,214,573
2019Q4,Greater Glasgow and Clyde,4,213,801
2020Q1,Greater Glasgow and Clyde,4,240,555
2020Q2,Greater Glasgow and Clyde,4,148,430
2020Q3,Greater Glasgow and Clyde,4,191,290
2020Q4,Greater Glasgow and Clyde,4,245,462
2021Q1,Greater Glasgow and Clyde,4,203,380
2021Q2,Greater Glasgow and Clyde,4,213,529
2021Q3,Greater Glasgow and Clyde,4,223,739
2021Q4,Greater Glasgow and Clyde,4,221,575
2022Q1,Greater Glasgow and Clyde,4,204,427
2022Q2,Greater Glasgow and Clyde,4,235,666
2022Q3,Greater Glasgow and Clyde,4,238,696
2017Q3,Greater Glasgow and Clyde,5,307,982
2017Q4,Greater Glasgow and Clyde,5,301,968
2018Q1,Greater Glasgow and Clyde,5,291,830
2018Q2,Greater Glasgow and Clyde,5,291,814
2018Q3,Greater Glasgow and Clyde,5,255,687
2018Q4,Greater Glasgow and Clyde,5,274,764
2019Q1,Greater Glasgow and Clyde,5,289,785
2019Q2,Greater Glasgow and Clyde,5,271,690
2019Q3,Greater Glasgow and Clyde,5,278,698
2019Q4,Greater Glasgow and Clyde,5,322,940
2020Q1,Greater Glasgow and Clyde,5,367,808
2020Q2,Greater Glasgow and Clyde,5,169,443
2020Q3,Greater Glasgow and Clyde,5,260,663
2020Q4,Greater Glasgow and Clyde,5,316,664
2021Q1,Greater Glasgow and Clyde,5,272,449
2021Q2,Greater Glasgow and Clyde,5,310,700
2021Q3,Greater Glasgow and Clyde,5,260,573
2021Q4,Greater Glasgow and Clyde,5,312,471
2022Q1,Greater Glasgow and Clyde,5,302,640
2022Q2,Greater Glasgow and Clyde,5,261,545
2022Q3,Greater Glasgow and Clyde,5,308,813
2021Q1,Highland,1,NA,5
2021Q4,Highland,1,NA,5
2017Q3,Highland,2,NA,14
2018Q3,Highland,2,NA,5
2018Q4,Highland,2,5,10
2019Q1,Highland,2,NA,5
2019Q3,Highland,2,NA,9
2019Q4,Highland,2,NA,5
2020Q1,Highland,2,5,10
2020Q3,Highland,2,NA,5
2020Q4,Highland,2,NA,5
2021Q3,Highland,2,NA,5
2021Q4,Highland,2,NA,5
2017Q3,Highland,3,NA,20
2017Q4,Highland,3,NA,18
2018Q1,Highland,3,NA,5
2018Q2,Highland,3,5,18
2018Q3,Highland,3,5,18
2018Q4,Highland,3,5,9
2019Q1,Highland,3,10,30
2019Q2,Highland,3,10,20
2019Q3,Highland,3,5,16
2019Q4,Highland,3,5,24
2020Q1,Highland,3,NA,6
2020Q3,Highland,3,5,10
2020Q4,Highland,3,5,5
2021Q1,Highland,3,10,25
2021Q2,Highland,3,5,21
2021Q3,Highland,3,NA,6
2021Q4,Highland,3,5,8
2022Q1,Highland,3,5,25
2022Q2,Highland,3,5,10
2022Q3,Highland,3,5,20
2017Q4,Highland,4,NA,39
2018Q1,Highland,4,NA,10
2018Q2,Highland,4,NA,5
2018Q3,Highland,4,5,13
2019Q1,Highland,4,NA,5
2019Q2,Highland,4,5,12
2019Q3,Highland,4,5,10
2019Q4,Highland,4,5,12
2020Q3,Highland,4,5,NA
2020Q4,Highland,4,5,10
2021Q1,Highland,4,NA,10
2021Q2,Highland,4,5,25
2021Q4,Highland,4,5,5
2022Q2,Highland,4,NA,9
2022Q3,Highland,4,5,7
2018Q2,Highland,5,NA,5
2021Q1,Highland,5,NA,5
2022Q1,Highland,5,NA,5
2022Q3,Highland,5,NA,19
2017Q3,Highland,1,5,5
2017Q4,Highland,1,5,NA
2018Q1,Highland,1,5,NA
2018Q2,Highland,1,5,12
2018Q3,Highland,1,NA,10
2018Q4,Highland,1,5,NA
2019Q1,Highland,1,5,5
2019Q2,Highland,1,NA,5
2020Q1,Highland,1,5,5
2020Q2,Highland,1,16,21
2020Q4,Highland,1,5,5
2021Q1,Highland,1,12,NA
2021Q2,Highland,1,15,NA
2021Q3,Highland,1,10,NA
2021Q4,Highland,1,10,13
2022Q1,Highland,1,NA,5
2017Q3,Highland,2,10,26
2017Q4,Highland,2,15,49
2018Q1,Highland,2,5,5
2018Q2,Highland,2,10,5
2018Q3,Highland,2,14,12
2018Q4,Highland,2,15,13
2019Q1,Highland,2,5,5
2019Q2,Highland,2,5,7
2019Q3,Highland,2,5,NA
2019Q4,Highland,2,5,5
2020Q3,Highland,2,NA,5
2021Q1,Highland,2,5,7
2021Q2,Highland,2,NA,8
2021Q3,Highland,2,5,5
2021Q4,Highland,2,NA,5
2022Q3,Highland,2,5,5
2017Q3,Highland,3,10,8
2017Q4,Highland,3,15,58
2018Q1,Highland,3,5,5
2018Q2,Highland,3,10,23
2018Q3,Highland,3,10,9
2018Q4,Highland,3,11,38
2019Q1,Highland,3,NA,5
2019Q2,Highland,3,10,7
2019Q3,Highland,3,5,6
2019Q4,Highland,3,5,5
2020Q1,Highland,3,NA,15
2020Q3,Highland,3,NA,5
2020Q4,Highland,3,5,5
2021Q1,Highland,3,NA,9
2021Q2,Highland,3,5,45
2022Q2,Highland,3,5,NA
2022Q3,Highland,3,5,5
2017Q3,Highland,4,5,17
2017Q4,Highland,4,5,NA
2018Q1,Highland,4,5,5
2018Q2,Highland,4,5,5
2018Q3,Highland,4,5,6
2018Q4,Highland,4,5,15
2019Q2,Highland,4,NA,8
2019Q3,Highland,4,5,5
2019Q4,Highland,4,5,5
2020Q2,Highland,4,NA,5
2020Q3,Highland,4,NA,5
2021Q1,Highland,4,NA,5
2021Q2,Highland,4,NA,5
2021Q3,Highland,4,NA,5
2021Q4,Highland,4,NA,67
2022Q1,Highland,4,5,5
2022Q2,Highland,4,5,NA
2022Q3,Highland,4,NA,5
2017Q3,Highland,1,5,5
2017Q4,Highland,1,5,5
2018Q1,Highland,1,NA,5
2018Q4,Highland,1,NA,5
2019Q1,Highland,1,5,6
2019Q3,Highland,1,NA,5
2019Q4,Highland,1,5,15
2020Q1,Highland,1,5,9
2020Q4,Highland,1,NA,5
2021Q2,Highland,1,5,5
2021Q3,Highland,1,5,14
2022Q1,Highland,1,5,14
2022Q2,Highland,1,5,5
2022Q3,Highland,1,NA,5
2017Q3,Highland,2,16,20
2017Q4,Highland,2,10,8
2018Q1,Highland,2,10,16
2018Q2,Highland,2,10,13
2018Q3,Highland,2,5,10
2018Q4,Highland,2,5,18
2019Q1,Highland,2,13,29
2019Q2,Highland,2,15,18
2019Q3,Highland,2,5,7
2019Q4,Highland,2,10,20
2020Q1,Highland,2,10,12
2020Q3,Highland,2,10,11
2020Q4,Highland,2,10,13
2021Q1,Highland,2,13,13
2021Q2,Highland,2,15,37
2021Q3,Highland,2,12,14
2021Q4,Highland,2,15,46
2022Q1,Highland,2,10,10
2022Q2,Highland,2,10,8
2022Q3,Highland,2,10,13
2017Q3,Highland,3,31,85
2017Q4,Highland,3,29,51
2018Q1,Highland,3,30,71
2018Q2,Highland,3,34,99
2018Q3,Highland,3,30,52
2018Q4,Highland,3,25,101
2019Q1,Highland,3,46,92
2019Q2,Highland,3,34,57
2019Q3,Highland,3,37,58
2019Q4,Highland,3,32,70
2020Q1,Highland,3,35,71
2020Q2,Highland,3,NA,15
2020Q3,Highland,3,17,40
2020Q4,Highland,3,31,57
2021Q1,Highland,3,34,53
2021Q2,Highland,3,29,36
2021Q3,Highland,3,26,38
2021Q4,Highland,3,26,77
2022Q1,Highland,3,23,52
2022Q2,Highland,3,32,43
2022Q3,Highland,3,20,22
2017Q3,Highland,4,15,21
2017Q4,Highland,4,15,20
2018Q1,Highland,4,10,19
2018Q2,Highland,4,10,6
2018Q3,Highland,4,18,82
2018Q4,Highland,4,17,52
2019Q1,Highland,4,16,28
2019Q2,Highland,4,19,42
2019Q3,Highland,4,12,23
2019Q4,Highland,4,15,16
2020Q1,Highland,4,14,59
2020Q3,Highland,4,5,7
2020Q4,Highland,4,14,27
2021Q1,Highland,4,14,26
2021Q2,Highland,4,12,27
2021Q3,Highland,4,12,49
2021Q4,Highland,4,10,15
2022Q1,Highland,4,10,9
2022Q2,Highland,4,5,5
2022Q3,Highland,4,5,14
2017Q3,Highland,1,139,417
2017Q4,Highland,1,133,453
2018Q1,Highland,1,100,332
2018Q2,Highland,1,143,389
2018Q3,Highland,1,158,544
2018Q4,Highland,1,146,571
2019Q1,Highland,1,129,341
2019Q2,Highland,1,147,566
2019Q3,Highland,1,135,1049
2019Q4,Highland,1,107,429
2020Q1,Highland,1,115,468
2020Q2,Highland,1,58,224
2020Q3,Highland,1,70,258
2020Q4,Highland,1,90,207
2021Q1,Highland,1,60,208
2021Q2,Highland,1,89,276
2021Q3,Highland,1,87,275
2021Q4,Highland,1,71,290
2022Q1,Highland,1,62,288
2022Q2,Highland,1,58,165
2022Q3,Highland,1,83,284
2017Q3,Highland,2,330,1128
2017Q4,Highland,2,273,983
2018Q1,Highland,2,227,659
2018Q2,Highland,2,283,828
2018Q3,Highland,2,279,917
2018Q4,Highland,2,299,1115
2019Q1,Highland,2,246,764
2019Q2,Highland,2,257,729
2019Q3,Highland,2,223,765
2019Q4,Highland,2,230,884
2020Q1,Highland,2,196,526
2020Q2,Highland,2,62,162
2020Q3,Highland,2,139,363
2020Q4,Highland,2,157,695
2021Q1,Highland,2,112,612
2021Q2,Highland,2,136,559
2021Q3,Highland,2,147,621
2021Q4,Highland,2,134,505
2022Q1,Highland,2,98,332
2022Q2,Highland,2,121,385
2022Q3,Highland,2,152,584
2017Q3,Highland,3,567,1888
2017Q4,Highland,3,551,2097
2018Q1,Highland,3,441,1430
2018Q2,Highland,3,600,2040
2018Q3,Highland,3,553,1654
2018Q4,Highland,3,514,2143
2019Q1,Highland,3,540,1845
2019Q2,Highland,3,622,1922
2019Q3,Highland,3,633,2189
2019Q4,Highland,3,525,1595
2020Q1,Highland,3,398,1218
2020Q2,Highland,3,148,555
2020Q3,Highland,3,281,864
2020Q4,Highland,3,372,3521
2021Q1,Highland,3,230,868
2021Q2,Highland,3,337,1112
2021Q3,Highland,3,330,1415
2021Q4,Highland,3,336,1628
2022Q1,Highland,3,226,839
2022Q2,Highland,3,352,1509
2022Q3,Highland,3,342,1223
2017Q3,Highland,4,390,1306
2017Q4,Highland,4,374,1192
2018Q1,Highland,4,280,655
2018Q2,Highland,4,384,1240
2018Q3,Highland,4,424,1305
2018Q4,Highland,4,385,1171
2019Q1,Highland,4,363,1041
2019Q2,Highland,4,440,1500
2019Q3,Highland,4,404,1207
2019Q4,Highland,4,351,1013
2020Q1,Highland,4,295,1221
2020Q2,Highland,4,110,600
2020Q3,Highland,4,154,786
2020Q4,Highland,4,192,765
2021Q1,Highland,4,140,672
2021Q2,Highland,4,227,934
2021Q3,Highland,4,225,738
2021Q4,Highland,4,190,693
2022Q1,Highland,4,172,637
2022Q2,Highland,4,211,642
2022Q3,Highland,4,230,780
2017Q3,Highland,5,93,290
2017Q4,Highland,5,90,304
2018Q1,Highland,5,64,193
2018Q2,Highland,5,101,308
2018Q3,Highland,5,102,278
2018Q4,Highland,5,87,282
2019Q1,Highland,5,77,226
2019Q2,Highland,5,98,333
2019Q3,Highland,5,95,350
2019Q4,Highland,5,83,376
2020Q1,Highland,5,74,320
2020Q2,Highland,5,24,39
2020Q3,Highland,5,40,153
2020Q4,Highland,5,50,144
2021Q1,Highland,5,34,106
2021Q2,Highland,5,54,180
2021Q3,Highland,5,37,221
2021Q4,Highland,5,41,272
2022Q1,Highland,5,32,127
2022Q2,Highland,5,44,125
2022Q3,Highland,5,54,291
2017Q3,Highland,1,126,336
2017Q4,Highland,1,121,408
2018Q1,Highland,1,88,261
2018Q2,Highland,1,131,349
2018Q3,Highland,1,153,508
2018Q4,Highland,1,136,535
2019Q1,Highland,1,117,291
2019Q2,Highland,1,141,521
2019Q3,Highland,1,128,1000
2019Q4,Highland,1,98,392
2020Q1,Highland,1,97,396
2020Q2,Highland,1,42,203
2020Q3,Highland,1,66,210
2020Q4,Highland,1,82,195
2021Q1,Highland,1,42,145
2021Q2,Highland,1,65,233
2021Q3,Highland,1,67,204
2021Q4,Highland,1,52,207
2022Q1,Highland,1,53,253
2022Q2,Highland,1,52,101
2022Q3,Highland,1,73,253
2017Q3,Highland,2,299,990
2017Q4,Highland,2,239,762
2018Q1,Highland,2,203,573
2018Q2,Highland,2,259,745
2018Q3,Highland,2,252,810
2018Q4,Highland,2,269,1037
2019Q1,Highland,2,220,662
2019Q2,Highland,2,232,656
2019Q3,Highland,2,201,655
2019Q4,Highland,2,211,830
2020Q1,Highland,2,180,500
2020Q2,Highland,2,60,120
2020Q3,Highland,2,123,282
2020Q4,Highland,2,138,625
2021Q1,Highland,2,90,555
2021Q2,Highland,2,118,481
2021Q3,Highland,2,122,468
2021Q4,Highland,2,110,378
2022Q1,Highland,2,84,287
2022Q2,Highland,2,107,341
2022Q3,Highland,2,130,489
2017Q3,Highland,3,510,1617
2017Q4,Highland,3,482,1710
2018Q1,Highland,3,398,1282
2018Q2,Highland,3,533,1726
2018Q3,Highland,3,497,1452
2018Q4,Highland,3,468,1613
2019Q1,Highland,3,473,1649
2019Q2,Highland,3,555,1704
2019Q3,Highland,3,574,1964
2019Q4,Highland,3,473,1372
2020Q1,Highland,3,351,1051
2020Q2,Highland,3,145,539
2020Q3,Highland,3,252,741
2020Q4,Highland,3,320,3306
2021Q1,Highland,3,177,652
2021Q2,Highland,3,280,840
2021Q3,Highland,3,291,1274
2021Q4,Highland,3,294,1416
2022Q1,Highland,3,185,648
2022Q2,Highland,3,294,1298
2022Q3,Highland,3,298,1036
2017Q3,Highland,4,353,1104
2017Q4,Highland,4,349,1055
2018Q1,Highland,4,257,565
2018Q2,Highland,4,354,1053
2018Q3,Highland,4,388,1067
2018Q4,Highland,4,353,1015
2019Q1,Highland,4,337,943
2019Q2,Highland,4,404,1340
2019Q3,Highland,4,375,1088
2019Q4,Highland,4,320,889
2020Q1,Highland,4,272,1083
2020Q2,Highland,4,107,592
2020Q3,Highland,4,142,748
2020Q4,Highland,4,166,649
2021Q1,Highland,4,120,569
2021Q2,Highland,4,202,795
2021Q3,Highland,4,206,631
2021Q4,Highland,4,169,526
2022Q1,Highland,4,154,585
2022Q2,Highland,4,197,567
2022Q3,Highland,4,214,702
2017Q3,Highland,5,93,282
2017Q4,Highland,5,90,279
2018Q1,Highland,5,65,180
2018Q2,Highland,5,96,275
2018Q3,Highland,5,100,239
2018Q4,Highland,5,85,262
2019Q1,Highland,5,75,210
2019Q2,Highland,5,95,275
2019Q3,Highland,5,91,322
2019Q4,Highland,5,80,341
2020Q1,Highland,5,70,294
2020Q2,Highland,5,24,39
2020Q3,Highland,5,38,151
2020Q4,Highland,5,50,123
2021Q1,Highland,5,32,92
2021Q2,Highland,5,50,166
2021Q3,Highland,5,35,199
2021Q4,Highland,5,39,261
2022Q1,Highland,5,27,78
2022Q2,Highland,5,44,125
2022Q3,Highland,5,51,257
2017Q3,Lanarkshire,1,527,1850
2017Q4,Lanarkshire,1,556,2278
2018Q1,Lanarkshire,1,559,1738
2018Q2,Lanarkshire,1,562,1532
2018Q3,Lanarkshire,1,578,1867
2018Q4,Lanarkshire,1,655,2900
2019Q1,Lanarkshire,1,563,1913
2019Q2,Lanarkshire,1,542,1963
2019Q3,Lanarkshire,1,500,1922
2019Q4,Lanarkshire,1,530,1513
2020Q1,Lanarkshire,1,431,1347
2020Q2,Lanarkshire,1,114,452
2020Q3,Lanarkshire,1,197,519
2020Q4,Lanarkshire,1,228,652
2021Q1,Lanarkshire,1,184,751
2021Q2,Lanarkshire,1,353,1221
2021Q3,Lanarkshire,1,291,740
2021Q4,Lanarkshire,1,213,885
2022Q1,Lanarkshire,1,199,681
2022Q2,Lanarkshire,1,331,1354
2022Q3,Lanarkshire,1,416,1674
2017Q3,Lanarkshire,2,527,1901
2017Q4,Lanarkshire,2,569,2149
2018Q1,Lanarkshire,2,534,2003
2018Q2,Lanarkshire,2,523,1554
2018Q3,Lanarkshire,2,569,1817
2018Q4,Lanarkshire,2,604,1770
2019Q1,Lanarkshire,2,531,1815
2019Q2,Lanarkshire,2,510,1339
2019Q3,Lanarkshire,2,529,1467
2019Q4,Lanarkshire,2,552,1708
2020Q1,Lanarkshire,2,412,1181
2020Q2,Lanarkshire,2,97,414
2020Q3,Lanarkshire,2,203,750
2020Q4,Lanarkshire,2,224,642
2021Q1,Lanarkshire,2,181,1052
2021Q2,Lanarkshire,2,321,815
2021Q3,Lanarkshire,2,309,783
2021Q4,Lanarkshire,2,208,857
2022Q1,Lanarkshire,2,247,805
2022Q2,Lanarkshire,2,343,1091
2022Q3,Lanarkshire,2,367,895
2017Q3,Lanarkshire,3,335,1090
2017Q4,Lanarkshire,3,338,1363
2018Q1,Lanarkshire,3,339,970
2018Q2,Lanarkshire,3,341,1242
2018Q3,Lanarkshire,3,365,1143
2018Q4,Lanarkshire,3,372,1345
2019Q1,Lanarkshire,3,363,967
2019Q2,Lanarkshire,3,314,823
2019Q3,Lanarkshire,3,308,833
2019Q4,Lanarkshire,3,370,947
2020Q1,Lanarkshire,3,273,757
2020Q2,Lanarkshire,3,54,270
2020Q3,Lanarkshire,3,122,428
2020Q4,Lanarkshire,3,137,466
2021Q1,Lanarkshire,3,113,316
2021Q2,Lanarkshire,3,205,605
2021Q3,Lanarkshire,3,173,389
2021Q4,Lanarkshire,3,118,287
2022Q1,Lanarkshire,3,151,437
